subjects,verbs,objects,sentences,,,,,,,,,,,,,,,,,,,,,,
ماما,سکیٹنگ,دوپہر,ماما دوپہر کے وقت سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
ماما,سکیٹنگ,شام,ماما شام کے وقت سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
ماما,سکیٹنگ,رات,ماما رات کے وقت سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
نانی جان,سکیٹنگ,پانی,نانی جان پانی پی کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
نانی جان,سکیٹنگ,دودھ,نانی جان دودھ پی کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
نانی جان,سکیٹنگ,جوس,نانی جان جوس پی کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
نانی جان,سکیٹنگ,چائے,نانی جان چائے پی کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
نانی جان,سکیٹنگ,چاول,نانی جان چائے کھا کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
نانی جان,سکیٹنگ,ڈبل روٹی,نانی جان ڈبل روٹی کھا کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
نانی جان,سکیٹنگ,ٹوفی,نانی جان ٹوفی کھا کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
نانی جان,سکیٹنگ,چاکلیٹ,نانی جان چاکلیٹ کھا کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
نانی جان,سکیٹنگ,بسکٹ,نانی جان بسکٹ کھا کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
نانی جان,سکیٹنگ,آ ئسکریم,نانی جان آ ئسکریم کھا کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
نانی جان,سکیٹنگ,برگر,نانی جان برگرکھا کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
نانی جان,سکیٹنگ,سینڈوچ,نانی جان سینڈوچ کھا کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
نانی جان,سکیٹنگ,سوپ,نانی جان سوپ پی کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
نانی جان,سکیٹنگ,نوڈلز,نانی جان نوڈلزکھا کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
نانی جان,سکیٹنگ,میکرونی,نانی جان میکرونی کھا کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
نانی جان,سکیٹنگ,پاستا,نانی جان پاستاکھا کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
نانی جان,سکیٹنگ,پیزا,نانی جان پیزا کھا کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
نانی جان,سکیٹنگ,لنچ باکس,نانی جان لنچ باکس کھا کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
نانی جان,سکیٹنگ,چپس,نانی جان چپس کھا کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
نانی جان,سکیٹنگ,شوز,نانی جان شوز پہن کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
نانی جان,سکیٹنگ,شرٹ,نانی جان شرٹ پہن کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
نانی جان,سکیٹنگ,ٹی شرٹ,نانی جان ٹی شرٹ پہن کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
نانی جان,سکیٹنگ,پینٹ,نانی جان پینٹ پہن کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
نانی جان,سکیٹنگ,شلوار  قمیض ,نانی جان شلوار  قمیض  پہن کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
نانی جان,سکیٹنگ,قمیص,نانی جان قمیص پہن کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
نانی جان,سکیٹنگ,جیکٹ,نانی جان جیکٹ پہن کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
نانی جان,سکیٹنگ,جوتا,نانی جان جوتا پہن کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
نانی جان,سکیٹنگ,ٹوپی,نانی جان ٹوپی پہن کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
نانی جان,سکیٹنگ,سکرٹ,نانی جان سکرٹ پہن کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
نانی جان,سکیٹنگ,ٹائی,نانی جان ٹائی پہن کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
نانی جان,سکیٹنگ,یونیفارم,نانی جان یونیفارم پہن کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
نانی جان,سکیٹنگ,موزے,نانی جان موزے پہن کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
نانی جان,سکیٹنگ,گلفز,نانی جان گلفز پہن کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
نانی جان,سکیٹنگ,بنیان,نانی جان بنیان پہن کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
نانی جان,سکیٹنگ,بیڈ روم,نانی جان بیڈ روم میں سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
نانی جان,سکیٹنگ,گھر,نانی جان گھر میں سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
نانی جان,سکیٹنگ,سکول,نانی جان سکول میں سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
نانی جان,سکیٹنگ,بس سٹاپ,نانی جان بس سٹاپ پہ سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
نانی جان,سکیٹنگ,سٹیشن,نانی جان سٹیشن پہ سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
نانی جان,سکیٹنگ,چڑیاگھر,نانی جان چڑیاگھر میں سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
نانی جان,سکیٹنگ,پارک,نانی جان پارک میں سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
نانی جان,سکیٹنگ,کیچن,نانی جان کیچن میں سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
نانی جان,سکیٹنگ,ٹی وی روم,نانی جان ٹی وی روم میں سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
نانی جان,سکیٹنگ,واش روم,نانی جان واش روم میں سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
نانی جان,سکیٹنگ,باتھ روم,نانی جان باتھ روم میں سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
نانی جان,سکیٹنگ,ہسپتال,نانی جان ہسپتال میں سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
نانی جان,سکیٹنگ,بازار,نانی جان بازار میں سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
نانی جان,سکیٹنگ,صبح,نانی جان صبح کے وقت سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
نانی جان,سکیٹنگ,دوپہر,نانی جان دوپہر کے وقت سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
نانی جان,سکیٹنگ,شام,نانی جان شام کے وقت سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
نانی جان,سکیٹنگ,رات,نانی جان رات کے وقت سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
دادی جان,سکیٹنگ,پانی,دادی جان پانی پی کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
دادی جان,سکیٹنگ,دودھ,دادی جان دودھ پی کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
دادی جان,سکیٹنگ,جوس,دادی جان جوس پی کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
دادی جان,سکیٹنگ,چائے,دادی جان چائے پی کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
دادی جان,سکیٹنگ,چاول,دادی جان چائے کھا کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
دادی جان,سکیٹنگ,ڈبل روٹی,دادی جان ڈبل روٹی کھا کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
دادی جان,سکیٹنگ,ٹوفی,دادی جان ٹوفی کھا کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
دادی جان,سکیٹنگ,چاکلیٹ,دادی جان چاکلیٹ کھا کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
دادی جان,سکیٹنگ,بسکٹ,دادی جان بسکٹ کھا کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
دادی جان,سکیٹنگ,آ ئسکریم,دادی جان آ ئسکریم کھا کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
دادی جان,سکیٹنگ,برگر,دادی جان برگرکھا کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
دادی جان,سکیٹنگ,سینڈوچ,دادی جان سینڈوچ کھا کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
دادی جان,سکیٹنگ,سوپ,دادی جان سوپ پی کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
دادی جان,سکیٹنگ,نوڈلز,دادی جان نوڈلزکھا کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
دادی جان,سکیٹنگ,میکرونی,دادی جان میکرونی کھا کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
دادی جان,سکیٹنگ,پاستا,دادی جان پاستاکھا کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
دادی جان,سکیٹنگ,پیزا,دادی جان پیزا کھا کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
دادی جان,سکیٹنگ,لنچ باکس,دادی جان لنچ باکس کھا کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
دادی جان,سکیٹنگ,چپس,دادی جان چپس کھا کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
دادی جان,سکیٹنگ,شوز,دادی جان شوز پہن کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
دادی جان,سکیٹنگ,شرٹ,دادی جان شرٹ پہن کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
دادی جان,سکیٹنگ,ٹی شرٹ,دادی جان ٹی شرٹ پہن کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
دادی جان,سکیٹنگ,پینٹ,دادی جان پینٹ پہن کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
دادی جان,سکیٹنگ,شلوار  قمیض ,دادی جان شلوار  قمیض  پہن کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
دادی جان,سکیٹنگ,قمیص,دادی جان قمیص پہن کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
دادی جان,سکیٹنگ,جیکٹ,دادی جان جیکٹ پہن کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
دادی جان,سکیٹنگ,جوتا,دادی جان جوتا پہن کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
دادی جان,سکیٹنگ,ٹوپی,دادی جان ٹوپی پہن کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
دادی جان,سکیٹنگ,سکرٹ,دادی جان سکرٹ پہن کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
دادی جان,سکیٹنگ,ٹائی,دادی جان ٹائی پہن کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
دادی جان,سکیٹنگ,یونیفارم,دادی جان یونیفارم پہن کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
دادی جان,سکیٹنگ,موزے,دادی جان موزے پہن کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
دادی جان,سکیٹنگ,گلفز,دادی جان گلفز پہن کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
دادی جان,سکیٹنگ,بنیان,دادی جان بنیان پہن کر سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
دادی جان,سکیٹنگ,بیڈ روم,دادی جان بیڈ روم میں سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
دادی جان,سکیٹنگ,گھر,دادی جان گھر میں سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
دادی جان,سکیٹنگ,سکول,دادی جان سکول میں سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
دادی جان,سکیٹنگ,بس سٹاپ,دادی جان بس سٹاپ پہ سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
دادی جان,سکیٹنگ,سٹیشن,دادی جان سٹیشن پہ سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
دادی جان,سکیٹنگ,چڑیاگھر,دادی جان چڑیاگھر میں سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
دادی جان,سکیٹنگ,پارک,دادی جان پارک میں سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
دادی جان,سکیٹنگ,کیچن,دادی جان کیچن میں سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
دادی جان,سکیٹنگ,ٹی وی روم,دادی جان ٹی وی روم میں سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
دادی جان,سکیٹنگ,واش روم,دادی جان واش روم میں سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
دادی جان,سکیٹنگ,باتھ روم,دادی جان باتھ روم میں سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
دادی جان,سکیٹنگ,ہسپتال,دادی جان ہسپتال میں سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
دادی جان,سکیٹنگ,بازار,دادی جان بازار میں سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
دادی جان,سکیٹنگ,صبح,دادی جان صبح کے وقت سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
دادی جان,سکیٹنگ,دوپہر,دادی جان دوپہر کے وقت سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
دادی جان,سکیٹنگ,شام,دادی جان شام کے وقت سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
دادی جان,سکیٹنگ,رات,دادی جان رات کے وقت سکیٹنگ کرتی ہیں,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,سکیٹنگ,پانی,چھوٹی بہن پانی پی کر سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,سکیٹنگ,دودھ,چھوٹی بہن دودھ پی کر سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,سکیٹنگ,جوس,چھوٹی بہن جوس پی کر سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,سکیٹنگ,چائے,چھوٹی بہن چائے پی کر سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,سکیٹنگ,چاول,چھوٹی بہن چائے کھا کر سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,سکیٹنگ,ڈبل روٹی,چھوٹی بہن ڈبل روٹی کھا کر سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,سکیٹنگ,ٹوفی,چھوٹی بہن ٹوفی کھا کر سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,سکیٹنگ,چاکلیٹ,چھوٹی بہن چاکلیٹ کھا کر سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,سکیٹنگ,بسکٹ,چھوٹی بہن بسکٹ کھا کر سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,سکیٹنگ,آ ئسکریم,چھوٹی بہن آ ئسکریم کھا کر سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,سکیٹنگ,برگر,چھوٹی بہن برگرکھا کر سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,سکیٹنگ,سینڈوچ,چھوٹی بہن سینڈوچ کھا کر سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,سکیٹنگ,سوپ,چھوٹی بہن سوپ پی کر سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,سکیٹنگ,نوڈلز,چھوٹی بہن نوڈلزکھا کر سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,سکیٹنگ,میکرونی,چھوٹی بہن میکرونی کھا کر سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,سکیٹنگ,پاستا,چھوٹی بہن پاستاکھا کر سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,سکیٹنگ,پیزا,چھوٹی بہن پیزا کھا کر سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,سکیٹنگ,لنچ باکس,چھوٹی بہن لنچ باکس کھا کر سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,سکیٹنگ,چپس,چھوٹی بہن چپس کھا کر سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,سکیٹنگ,شوز,چھوٹی بہن شوز پہن کر سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,سکیٹنگ,شرٹ,چھوٹی بہن شرٹ پہن کر سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,سکیٹنگ,ٹی شرٹ,چھوٹی بہن ٹی شرٹ پہن کر سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,سکیٹنگ,پینٹ,چھوٹی بہن پینٹ پہن کر سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,سکیٹنگ,شلوار  قمیض ,چھوٹی بہن شلوار  قمیض  پہن کر سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,سکیٹنگ,قمیص,چھوٹی بہن قمیص پہن کر سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,سکیٹنگ,جیکٹ,چھوٹی بہن جیکٹ پہن کر سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,سکیٹنگ,جوتا,چھوٹی بہن جوتا پہن کر سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,سکیٹنگ,ٹوپی,چھوٹی بہن ٹوپی پہن کر سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,سکیٹنگ,سکرٹ,چھوٹی بہن سکرٹ پہن کر سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,سکیٹنگ,ٹائی,چھوٹی بہن ٹائی پہن کر سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,سکیٹنگ,یونیفارم,چھوٹی بہن یونیفارم پہن کر سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,سکیٹنگ,موزے,چھوٹی بہن موزے پہن کر سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,سکیٹنگ,گلفز,چھوٹی بہن گلفز پہن کر سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,سکیٹنگ,بنیان,چھوٹی بہن بنیان پہن کر سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,سکیٹنگ,بیڈ روم,چھوٹی بہن بیڈ روم میں سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,سکیٹنگ,گھر,چھوٹی بہن گھر میں سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,سکیٹنگ,سکول,چھوٹی بہن سکول میں سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,سکیٹنگ,بس سٹاپ,چھوٹی بہن بس سٹاپ پہ سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,سکیٹنگ,سٹیشن,چھوٹی بہن سٹیشن پہ سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,سکیٹنگ,چڑیاگھر,چھوٹی بہن چڑیاگھر میں سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,سکیٹنگ,پارک,چھوٹی بہن پارک میں سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,سکیٹنگ,کیچن,چھوٹی بہن کیچن میں سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,سکیٹنگ,ٹی وی روم,چھوٹی بہن ٹی وی روم میں سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,سکیٹنگ,واش روم,چھوٹی بہن واش روم میں سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,سکیٹنگ,باتھ روم,چھوٹی بہن باتھ روم میں سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,سکیٹنگ,ہسپتال,چھوٹی بہن ہسپتال میں سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,سکیٹنگ,بازار,چھوٹی بہن بازار میں سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,سکیٹنگ,صبح,چھوٹی بہن صبح کے وقت سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,سکیٹنگ,دوپہر,چھوٹی بہن دوپہر کے وقت سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,سکیٹنگ,شام,چھوٹی بہن شام کے وقت سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,سکیٹنگ,رات,چھوٹی بہن رات کے وقت سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
بڑی بہن,سکیٹنگ,پانی,بڑی بہن پانی پی کر سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
بڑی بہن,سکیٹنگ,دودھ,بڑی بہن دودھ پی کر سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
بڑی بہن,سکیٹنگ,جوس,بڑی بہن جوس پی کر سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
بڑی بہن,سکیٹنگ,چائے,بڑی بہن چائے پی کر سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
بڑی بہن,سکیٹنگ,چاول,بڑی بہن چائے کھا کر سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
بڑی بہن,سکیٹنگ,ڈبل روٹی,بڑی بہن ڈبل روٹی کھا کر سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
بڑی بہن,سکیٹنگ,ٹوفی,بڑی بہن ٹوفی کھا کر سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
بڑی بہن,سکیٹنگ,چاکلیٹ,بڑی بہن چاکلیٹ کھا کر سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
بڑی بہن,سکیٹنگ,بسکٹ,بڑی بہن بسکٹ کھا کر سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
بڑی بہن,سکیٹنگ,آ ئسکریم,بڑی بہن آ ئسکریم کھا کر سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
بڑی بہن,سکیٹنگ,برگر,بڑی بہن برگرکھا کر سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
بڑی بہن,سکیٹنگ,سینڈوچ,بڑی بہن سینڈوچ کھا کر سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
بڑی بہن,سکیٹنگ,سوپ,بڑی بہن سوپ پی کر سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
بڑی بہن,سکیٹنگ,نوڈلز,بڑی بہن نوڈلزکھا کر سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
بڑی بہن,سکیٹنگ,میکرونی,بڑی بہن میکرونی کھا کر سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
بڑی بہن,سکیٹنگ,پاستا,بڑی بہن پاستاکھا کر سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
بڑی بہن,سکیٹنگ,پیزا,بڑی بہن پیزا کھا کر سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
بڑی بہن,سکیٹنگ,لنچ باکس,بڑی بہن لنچ باکس کھا کر سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
بڑی بہن,سکیٹنگ,چپس,بڑی بہن چپس کھا کر سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
بڑی بہن,سکیٹنگ,شوز,بڑی بہن شوز پہن کر سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
بڑی بہن,سکیٹنگ,شرٹ,بڑی بہن شرٹ پہن کر سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
بڑی بہن,سکیٹنگ,ٹی شرٹ,بڑی بہن ٹی شرٹ پہن کر سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
بڑی بہن,سکیٹنگ,پینٹ,بڑی بہن پینٹ پہن کر سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
بڑی بہن,سکیٹنگ,شلوار  قمیض ,بڑی بہن شلوار  قمیض  پہن کر سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
بڑی بہن,سکیٹنگ,قمیص,بڑی بہن قمیص پہن کر سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
بڑی بہن,سکیٹنگ,جیکٹ,بڑی بہن جیکٹ پہن کر سکیٹنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
